pred_name,stratum_time,pred_size,stratum_area,w_fac_area
Gadus morhua,1991-Q1,0200-0249,R-7,1
Gadus morhua,1991-Q1,0200-0249,R-6,1
Gadus morhua,1991-Q1,0250-0299,R-4,1
Gadus morhua,1991-Q1,0250-0299,R-6,1
Gadus morhua,1991-Q1,0100-0149,R-7,1
Gadus morhua,1991-Q1,0300-0399,R-4,1
Gadus morhua,1991-Q1,0300-0399,R-6,1
Gadus morhua,1991-Q1,0100-0149,R-6,1
Gadus morhua,1991-Q1,0300-0399,R-7,1
Gadus morhua,1991-Q1,0300-0399,R-2,1
Gadus morhua,1991-Q1,0150-0199,R-4,1
Gadus morhua,1991-Q1,0400-0499,R-4,1
Gadus morhua,1991-Q1,0400-0499,R-2,1
Gadus morhua,1991-Q1,0400-0499,R-6,1
Gadus morhua,1991-Q1,0500-0699,R-4,1
Gadus morhua,1991-Q1,0150-0199,R-7,1
Gadus morhua,1991-Q1,0500-0699,R-7,1
Gadus morhua,1991-Q1,0500-0699,R-6,1
Gadus morhua,1991-Q1,0700-0999,R-4,1
Gadus morhua,1991-Q1,0150-0199,R-6,1
Gadus morhua,1991-Q1,0700-0999,R-6,1
Gadus morhua,1991-Q1,0700-0999,R-7,1
Gadus morhua,1991-Q1,0700-0999,R-2,1
Gadus morhua,1991-Q1,1000-1499,R-4,1
Gadus morhua,1991-Q1,1000-1499,R-6,1
Gadus morhua,1991-Q1,1000-1499,R-7,1
Gadus morhua,1991-Q2,0100-0149,R-2,1
Gadus morhua,1991-Q2,0150-0199,R-1,1
Gadus morhua,1991-Q2,0200-0249,R-1,1
Gadus morhua,1991-Q2,0200-0249,R-2,1
Gadus morhua,1991-Q2,0200-0249,R-7,1
Gadus morhua,1991-Q2,0250-0299,R-1,1
Gadus morhua,1991-Q2,0300-0399,R-1,1
Gadus morhua,1991-Q2,0300-0399,R-7,1
Gadus morhua,1991-Q2,0400-0499,R-1,1
Gadus morhua,1991-Q2,0400-0499,R-2,1
Gadus morhua,1991-Q2,0500-0699,R-1,1
Gadus morhua,1991-Q2,0500-0699,R-5,1
Gadus morhua,1991-Q2,0500-0699,R-2,1
Gadus morhua,1991-Q2,0700-0999,R-1,1
Gadus morhua,1991-Q2,1000-1499,R-1,1
Gadus morhua,1991-Q3,0100-0149,R-7,1
Gadus morhua,1991-Q3,0200-0249,R-2,1
Gadus morhua,1991-Q3,0200-0249,R-7,1
Gadus morhua,1991-Q3,0250-0299,R-2,1
Gadus morhua,1991-Q3,0250-0299,R-7,1
Gadus morhua,1991-Q3,0300-0399,R-2,1
Gadus morhua,1991-Q3,0300-0399,R-7,1
Gadus morhua,1991-Q3,0400-0499,R-7,1
Gadus morhua,1991-Q3,0500-0699,R-7,1
Gadus morhua,1991-Q3,0500-0699,R-2,1
Gadus morhua,1991-Q3,0700-0999,R-7,1
Gadus morhua,1991-Q3,1000-1499,R-2,1
Gadus morhua,1991-Q4,0100-0149,R-2,1
Gadus morhua,1991-Q4,0100-0149,R-7,1
Gadus morhua,1991-Q4,0100-0149,R-6,1
Gadus morhua,1991-Q4,0100-0149,R-8,1
Gadus morhua,1991-Q4,0100-0149,R-9,1
Gadus morhua,1991-Q4,0100-0149,R-3,1
Gadus morhua,1991-Q4,0100-0149,R-1,1
Gadus morhua,1991-Q4,0150-0199,R-1,1
Gadus morhua,1991-Q4,0150-0199,R-2,1
Gadus morhua,1991-Q4,0150-0199,R-7,1
Gadus morhua,1991-Q4,0150-0199,R-6,1
Gadus morhua,1991-Q4,0150-0199,R-8,1
Gadus morhua,1991-Q4,0150-0199,R-9,1
Gadus morhua,1991-Q4,0200-0249,R-2,1
Gadus morhua,1991-Q4,0200-0249,R-6,1
Gadus morhua,1991-Q4,0200-0249,R-7,1
Gadus morhua,1991-Q4,0200-0249,R-8,1
Gadus morhua,1991-Q4,0200-0249,R-9,1
Gadus morhua,1991-Q4,0250-0299,R-2,1
Gadus morhua,1991-Q4,0250-0299,R-1,1
Gadus morhua,1991-Q4,0250-0299,R-6,1
Gadus morhua,1991-Q4,0250-0299,R-7,1
Gadus morhua,1991-Q4,0250-0299,R-8,1
Gadus morhua,1991-Q4,0250-0299,R-9,1
Gadus morhua,1991-Q4,0300-0399,R-3,1
Gadus morhua,1991-Q4,0300-0399,R-1,1
Gadus morhua,1991-Q4,0300-0399,R-2,1
Gadus morhua,1991-Q4,0300-0399,R-7,1
Gadus morhua,1991-Q4,0300-0399,R-8,1
Gadus morhua,1991-Q4,0300-0399,R-9,1
Gadus morhua,1991-Q4,0300-0399,R-6,1
Gadus morhua,1991-Q4,0400-0499,R-3,1
Gadus morhua,1991-Q4,0400-0499,R-1,1
Gadus morhua,1991-Q4,0400-0499,R-2,1
Gadus morhua,1991-Q4,0400-0499,R-7,1
Gadus morhua,1991-Q4,0400-0499,R-8,1
Gadus morhua,1991-Q4,0400-0499,R-9,1
Gadus morhua,1991-Q4,0500-0699,R-1,1
Gadus morhua,1991-Q4,0500-0699,R-2,1
Gadus morhua,1991-Q4,0500-0699,R-7,1
Gadus morhua,1991-Q4,0500-0699,R-8,1
Gadus morhua,1991-Q4,0500-0699,R-9,1
Gadus morhua,1991-Q4,0700-0999,R-1,1
Gadus morhua,1991-Q4,0700-0999,R-7,1
Gadus morhua,1991-Q4,0700-0999,R-8,1
Gadus morhua,1991-Q4,0700-0999,R-9,1
Gadus morhua,1991-Q4,1000-1499,R-2,1
Gadus morhua,1991-Q4,1000-1499,R-7,1
Gadus morhua,1991-Q4,1000-1499,R-8,1
Gadus morhua,1991-Q2,0100-0149,R-1,1
Gadus morhua,1991-Q2,0150-0199,R-3,1
Gadus morhua,1991-Q2,0150-0199,R-4,1
Gadus morhua,1991-Q2,0150-0199,R-2,1
Gadus morhua,1991-Q2,0150-0199,R-6,1
Gadus morhua,1991-Q2,0150-0199,R-7,1
Gadus morhua,1991-Q2,0200-0249,R-3,1
Gadus morhua,1991-Q2,0200-0249,R-4,1
Gadus morhua,1991-Q2,0200-0249,R-6,1
Gadus morhua,1991-Q2,0250-0299,R-3,1
Gadus morhua,1991-Q2,0250-0299,R-4,1
Gadus morhua,1991-Q2,0250-0299,R-6,1
Gadus morhua,1991-Q2,0250-0299,R-2,1
Gadus morhua,1991-Q2,0250-0299,R-7,1
Gadus morhua,1991-Q2,0300-0399,R-3,1
Gadus morhua,1991-Q2,0300-0399,R-4,1
Gadus morhua,1991-Q2,0300-0399,R-2,1
Gadus morhua,1991-Q2,0300-0399,R-6,1
Gadus morhua,1991-Q2,0400-0499,R-3,1
Gadus morhua,1991-Q2,0400-0499,R-4,1
Gadus morhua,1991-Q2,0400-0499,R-7,1
Gadus morhua,1991-Q2,0400-0499,R-6,1
Gadus morhua,1991-Q2,0500-0699,R-3,1
Gadus morhua,1991-Q2,0500-0699,R-4,1
Gadus morhua,1991-Q2,0500-0699,R-6,1
Gadus morhua,1991-Q2,0500-0699,R-7,1
Gadus morhua,1991-Q2,0700-0999,R-4,1
Gadus morhua,1991-Q2,0700-0999,R-6,1
Gadus morhua,1991-Q2,0700-0999,R-2,1
Gadus morhua,1991-Q2,0700-0999,R-7,1
Gadus morhua,1991-Q2,0700-0999,R-3,1
Gadus morhua,1991-Q2,0700-0999,R-5,1
Gadus morhua,1991-Q2,1000-1499,R-3,1
Gadus morhua,1991-Q2,1000-1499,R-5,1
Gadus morhua,1991-Q2,1000-1499,R-2,1
Gadus morhua,1991-Q2,1000-1499,R-7,1
Gadus morhua,1991-Q3,0100-0149,R-3,1
Gadus morhua,1991-Q3,0100-0149,R-4,1
Gadus morhua,1991-Q3,0100-0149,R-2,1
Gadus morhua,1991-Q3,0100-0149,R-1,1
Gadus morhua,1991-Q3,0100-0149,R-6,1
Gadus morhua,1991-Q3,0150-0199,R-4,1
Gadus morhua,1991-Q3,0150-0199,R-7,1
Gadus morhua,1991-Q3,0200-0249,R-4,1
Gadus morhua,1991-Q3,0200-0249,R-3,1
Gadus morhua,1991-Q3,0200-0249,R-1,1
Gadus morhua,1991-Q3,0200-0249,R-6,1
Gadus morhua,1991-Q3,0250-0299,R-3,1
Gadus morhua,1991-Q3,0250-0299,R-4,1
Gadus morhua,1991-Q3,0250-0299,R-1,1
Gadus morhua,1991-Q3,0250-0299,R-6,1
Gadus morhua,1991-Q3,0300-0399,R-3,1
Gadus morhua,1991-Q3,0300-0399,R-4,1
Gadus morhua,1991-Q3,0300-0399,R-1,1
Gadus morhua,1991-Q3,0300-0399,R-6,1
Gadus morhua,1991-Q3,0300-0399,R-5,1
Gadus morhua,1991-Q3,0400-0499,R-4,1
Gadus morhua,1991-Q3,0400-0499,R-3,1
Gadus morhua,1991-Q3,0400-0499,R-2,1
Gadus morhua,1991-Q3,0400-0499,R-1,1
Gadus morhua,1991-Q3,0400-0499,R-6,1
Gadus morhua,1991-Q3,0400-0499,R-5,1
Gadus morhua,1991-Q3,0500-0699,R-4,1
Gadus morhua,1991-Q3,0500-0699,R-3,1
Gadus morhua,1991-Q3,0500-0699,R-1,1
Gadus morhua,1991-Q3,0500-0699,R-5,1
Gadus morhua,1991-Q3,0700-0999,R-1,1
Gadus morhua,1991-Q3,0700-0999,R-4,1
Gadus morhua,1991-Q3,0700-0999,R-5,1
Gadus morhua,1991-Q3,0700-0999,R-2,1
Gadus morhua,1991-Q3,0700-0999,R-6,1
Gadus morhua,1991-Q3,1000-1499,R-1,1
Gadus morhua,1991-Q4,0100-0149,R-4,1
Gadus morhua,1991-Q4,0150-0199,R-5,1
Gadus morhua,1991-Q4,0200-0249,R-4,1
Gadus morhua,1991-Q4,0250-0299,R-3,1
Gadus morhua,1991-Q4,0300-0399,R-4,1
Gadus morhua,1991-Q4,0300-0399,R-5,1
Gadus morhua,1991-Q4,0400-0499,R-4,1
Gadus morhua,1991-Q4,0400-0499,R-5,1
Gadus morhua,1991-Q4,0400-0499,R-6,1
Gadus morhua,1991-Q4,0500-0699,R-3,1
Gadus morhua,1991-Q4,0500-0699,R-4,1
Gadus morhua,1991-Q4,0500-0699,R-5,1
Gadus morhua,1991-Q4,0500-0699,R-6,1
Gadus morhua,1991-Q1,0300-0399,R-5,1
Gadus morhua,1991-Q1,0400-0499,R-7,1
Gadus morhua,1991-Q1,0500-0699,R-2,1
Gadus morhua,1991-Q1,0500-0699,R-5,1
Gadus morhua,1991-Q1,0700-0999,R-5,1
Gadus morhua,1991-Q1,0200-0249,R-5,1
Gadus morhua,1991-Q1,1000-1499,R-2,1
Gadus morhua,1991-Q1,0400-0499,R-1,1
Gadus morhua,1991-Q1,0500-0699,R-3,1
Gadus morhua,1991-Q1,0500-0699,R-1,1
Gadus morhua,1991-Q1,0700-0999,R-3,1
Gadus morhua,1991-Q1,0700-0999,R-1,1
Gadus morhua,1991-Q2,1000-1499,R-6,1
Gadus morhua,1991-Q1,0250-0299,R-3,1
Gadus morhua,1991-Q1,0300-0399,R-1,1
Gadus morhua,1991-Q1,0300-0399,R-3,1
Gadus morhua,1991-Q1,0150-0199,R-3,1
Gadus morhua,1991-Q1,0400-0499,R-3,1
Gadus morhua,1991-Q1,0400-0499,R-5,1
Gadus morhua,1991-Q1,0150-0199,R-5,1
Gadus morhua,1991-Q1,0100-0149,R-3,1
Gadus morhua,1991-Q1,0200-0249,R-3,1
Gadus morhua,1991-Q2,0100-0149,R-7,1
Gadus morhua,1991-Q2,0250-0299,R-5,1
Gadus morhua,1991-Q2,0300-0399,R-5,1
Gadus morhua,1991-Q2,0400-0499,R-5,1
Gadus morhua,1991-Q3,0500-0699,R-6,1
Gadus morhua,1991-Q3,0700-0999,R-3,1
Gadus morhua,1991-Q3,1000-1499,R-7,1
Gadus morhua,1991-Q4,0100-0149,R-5,1
Gadus morhua,1991-Q4,0150-0199,R-4,1
Gadus morhua,1991-Q4,0700-0999,R-5,1
Gadus morhua,1991-Q4,0700-0999,R-2,1
Gadus morhua,1991-Q4,0700-0999,R-6,1
Gadus morhua,1991-Q1,0250-0299,R-1,1
Gadus morhua,1991-Q1,0250-0299,R-2,1
Gadus morhua,1991-Q1,0250-0299,R-7,1
Gadus morhua,1991-Q1,0150-0199,R-1,1
Gadus morhua,1991-Q1,0150-0199,R-2,1
Gadus morhua,1991-Q1,0500-0699,R-8,1
Gadus morhua,1991-Q1,0100-0149,R-1,1
Gadus morhua,1991-Q1,0100-0149,R-2,1
Gadus morhua,1991-Q1,0200-0249,R-1,1
Gadus morhua,1991-Q3,0150-0199,R-1,1
Gadus morhua,1991-Q4,0200-0249,R-3,1
Gadus morhua,1991-Q4,0200-0249,R-1,1
Gadus morhua,1991-Q4,0700-0999,R-3,1
Gadus morhua,1991-Q4,1000-1499,R-1,1
Gadus morhua,1991-Q1,1000-1499,R-3,1
Gadus morhua,1991-Q1,1000-1499,R-1,1
Gadus morhua,1991-Q2,0100-0149,R-3,1
Gadus morhua,1991-Q3,1000-1499,R-3,1
